title,address,phone,rating,category,logo,website,html_logo_help,html_logo,keyword,location
The Dead Rabbit,"30 Water St, New York, NY 10004, United States",19175405228,4.7,irish bar,https://images.squarespace-cdn.com/content/v1/6231ff6bf0d49978468462a8/6867d57c-33dc-4a51-b3cf-3e39bf5dc51e/The-Dead-Rabbit-Logo-03.png?format=1500w,http://www.thedeadrabbit.com/x,"<div class=""header-title-logo""><a href=""/"" data-animation-role=""header-element"" class=""preFade fadeIn"" style=""transition-timing-function: ease; transition-duration: 0.65s; transition-delay: 0.0178571s;""><img src=""//images.squarespace-cdn.com/content/v1/6231ff6bf0d49978468462a8/6867d57c-33dc-4a51-b3cf-3e39bf5dc51e/The-Dead-Rabbit-Logo-03.png?format=1500w"" alt=""The Dead Rabbit""></a></div>","""<div class=""header-title-logo""><a href=""/"" data-animation-role=""header-element"" class=""preFade fadeIn"" style=""transition-timing-function: ease; transition-duration: 0.65s; transition-delay: 0.0178571s;""><img src=""//images.squarespace-cdn.com/content/v1/6231ff6bf0d49978468462a8/6867d57c-33dc-4a51-b3cf-3e39bf5dc51e/The-Dead-Rabbit-Logo-03.png?format=1500w"" alt=""The Dead Rabbit""></a></div>""",bars,nyc
Dear Irving on Hudson Rooftop Bar,"310 W 40th St, New York, NY 10018, United States",,4.5,Cocktail bar,https://images.squarespace-cdn.com/content/v1/5c2ec1284cde7a01c875ac2e/1548944903780-WT0ER1R5QAL6YHR4Q7FY/DI_OH_Logo_Gold_XL.png?format=1500w,https://www.dearirving.com/,"<div id=""logoWrapper"" class=""title-logo-wrapper"" data-content-field=""site-title""><h1 id=""logoImage"" class=""tmpl-loading logo-image""><a href=""/"" tabindex=""0"" id=""yui_3_17_2_1_1683232549650_519""><img src=""//images.squarespace-cdn.com/content/v1/5c2ec1284cde7a01c875ac2e/1548944903780-WT0ER1R5QAL6YHR4Q7FY/DI_OH_Logo_Gold_XL.png?format=1500w"" alt=""DEAR IRVING"" id=""yui_3_17_2_1_1683232549650_518""></a></h1></div>","""<div id=""logoWrapper"" class=""title-logo-wrapper"" data-content-field=""site-title""><h1 id=""logoImage"" class=""tmpl-loading logo-image""><a href=""/"" tabindex=""0"" id=""yui_3_17_2_1_1683232549650_519""><img src=""//images.squarespace-cdn.com/content/v1/5c2ec1284cde7a01c875ac2e/1548944903780-WT0ER1R5QAL6YHR4Q7FY/DI_OH_Logo_Gold_XL.png?format=1500w"" alt=""DEAR IRVING"" id=""yui_3_17_2_1_1683232549650_518""></a></h1></div>""",bars,nyc
Hidden Lane Bar,"129 E 15th St, New York, NY 10003, United States",12017491876,4.5,Bar,http://www.hiddenlanebar.com/uploads/9/4/2/1/94213977/hidden-lane-logo-final-offwhite-on-charcoal-website_4.png,http://www.hiddenlanebar.com/,,"""""",bars,nyc
Temple Bar,"332 Lafayette St, New York, NY 10012, United States",,3.9,Bar,https://images.squarespace-cdn.com/content/v1/614340cddd46577c8e89d02d/960f3036-c94e-49f1-97ee-d85bde59b5fc/Temple+Bar+wordmark_web_black-01.png?format=1500w,https://www.templebar.co/,,"""""",bars,nyc
Pebble Bar,"67 W 49th St, New York, NY 10112, United States",,4.5,Cocktail bar,https://images.squarespace-cdn.com/content/v1/61845d79f159c9288123a385/77a841bb-e81e-4b58-902a-579cf559e2e4/PebbleBar-Wordmark-OneLine-CREAM-MED.png?format=1500w,https://www.pebblebarnyc.com/,,"""""",bars,nyc
Old Town Bar,"45 E 18th St, New York, NY 10003",(212) 529-6732,4.4,Gastropub,,,,"""""",bars,nyc
BAR CHRYSTIE,"PUBLIC Hotel, 215 Chrystie St, New York, NY 10002",,3.9,Cocktail bar,,https://www.publichotels.com/eat-and-drink/bar-chrystie,,"""""",bars,nyc
The Bowery Electric,"327 Bowery, New York, NY 10003, United States",1 212-228-0228,4.3,Live music bar,https://www.theboweryelectric.com/wp-content/uploads/2022/10/The-Bowery-Electric-logo-1.png,https://www.theboweryelectric.com/?gclid=EAIaIgocChMIpuexhLqz_wIVpgcGAB0zrAK8EBAYAiDIARICHhnw_wcB,,"""""",bars,nyc
Bar 54,"135 W 45th St, New York, NY 10036, United States",646-364-1234,4.2,Bar,,https://resy.com/cities/ny/10486?date=2023-06-09,,"""""",bars,nyc
Jimmy's Corner,"140 W 44th St, New York, NY 10036, United States",212-221-9510,4.5,Bar,,https://nymag.com/listings/search,,"""""",bars,nyc
The Bar Room,"9 W 53rd St, New York, NY 10019, United States",212-333-1220,4.5,Bar,https://www.themodernnyc.com/,https://www.themodernnyc.com/the-bar-room-at-the-modern/?utm_source=GoogleBusinessProfiles&utm_medium=Menu&utm_campaign=MapLabs,,"""""",bars,nyc
Barcelona Bar,"923 8th Ave, New York, NY 10019, United States",,4.5,bar,,https://www.barcelonabarnyc.com/,,"""""",bars,nyc
Strangelove Bar Nyc,"229 E 53rd St, New York, NY 10022, United States",,4.5,bar,,https://www.strangeloveny.com/menu,,"""""",bars,nyc
S Bar,"398 10th Ave, New York, NY 10001, United States",212-920-6816,4.3,Cocktail bar,,https://www.sbe.com/nightlife/s-bar/s-bar-new-york/,,"""""",bars,nyc
Bar SixtyFive at Rainbow Room,"30 Rockefeller Plaza 65th Floor, New York, NY 10112, United States",212-632-5000,4.3,bar,,https://www.rockefellercenter.com/attractions/bar-sixtyfive/,,"""""",bars,nyc
KGB Bar,"85 E 4th St, New York, NY 10003, United States",347-441-4481,4.3,bar,,https://kgbbar.com/,,"""""",bars,nyc
The Pony Bar,"1444 1st Ave., New York, NY 10021, United States",212-288-0090,4.5,bar,http://theponybar.com/,https://theponybar.com/,,"""""",bars,nyc
Whiskey Tavern,"79 Baxter St A, New York, NY 10013, United States",212-374-9119,4.6,bar,https://whiskeytavernnyc.com/wp-content/uploads/sites/13/2020/11/tavern-white-large.png,https://whiskeytavernnyc.com/,,"""""",bars,nyc
169 Bar,"169 E Broadway, New York, NY 10002, United States",,4.2,bar,https://169barnyc.com/uploads/images/169bar.png,https://169barnyc.com/,,"""""",bars,nyc
Pocket Bar NYC,"455 W 48th St, New York, NY 10036, United States",646-682-9062,4.7,bar,,https://www.pocketbarnyc.com/,,"""""",bars,nyc
Rudy's Bar & Grill,"627 9th Ave, New York, NY 10036, United States",646-707-0890,4.6,bar,https://cdn.shopify.com/s/files/1/0248/9902/6990/files/logo_for_website_180x.png?v=1614325524,https://rudysbarnyc.com/,,"""""",bars,nyc
Basement,"45 Mott St, New York, NY 10013, United States",929-777-1388,4.4,Cocktail bar,https://images.squarespace-cdn.com/content/v1/5b357de7c3c16a60c7dbf275/1530859801884-WB1RCLM3J81HN9YL64U3/basement-7.0.gif?format=1500w,https://basementchinatown.com/,,"""""",bars,nyc
Apotheke Chinatown,"9 Doyers St, New York, NY 10013, United States",212-406-0400,4.4,Cocktail bar,"https://images.getbento.com/accounts/4d055a573a2294f2038bd046ffea264e/media/images/609537wgRL9MmT7qP1PEoX6ug_Coat-of-Arms.png?w=1000&fit=max&auto=compress,format&h=1000",https://www.apothekemixology.com/,,"""""",bars,nyc
The Hunterian,"413 E 70th St, New York, NY 10021, United States",212-825-1525,4.7,bar,https://static.wixstatic.com/media/1739d1_8b44c39ee63e4252b0c7192df46317f5~mv2.gif,https://www.thehunterianues.com/,,"""""",bars,nyc
Clockwork Bar,"21 Essex St, New York, NY 10002, United States",,4.5,bar,"https://static.wixstatic.com/media/0e2e28_018df20c2c474bea8a3eceb3ad420721.png/v1/fill/w_638,h_256,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/0e2e28_018df20c2c474bea8a3eceb3ad420721.png",https://www.clockworknyc.com/,,"""""",bars,nyc
Bar Nine,"807 9th Ave, New York, NY 10019, United States",332-242-2630,4.3,bar,,https://bar9ny.com/,,"""""",bars,nyc
Victory Sweet Shop/Victory Garden Cafe,"21-69 Steinway St, Queens, NY 11105, United States",718-274-2087,4.5,Restaurant,https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png,https://victorysweetshop.com/garden-cafe/?gclid=CjwKCAjw4ZWkBhA4EiwAVJXwqb_-x6UG6Qpto1aYlUlbByd4rvNH1O2TFee7IqyP51-uAd-OT31wsRoCXvsQAvD_BwE,"<img decoding=""async"" width=""190"" height=""160"" alt=""Victory Sweet Shop Ltd"" itemprop=""image"" data-srcset=""https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png 190w, https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1-64x54.png 64w"" data-src=""https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png"" data-sizes=""(max-width: 190px) 100vw, 190px"" class=""pp-photo-img wp-image-278 size-full lazyloaded"" src=""https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png"" sizes=""(max-width: 190px) 100vw, 190px"" srcset=""https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png 190w, https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1-64x54.png 64w"">","""<img decoding=""async"" width=""190"" height=""160"" alt=""Victory Sweet Shop Ltd"" itemprop=""image"" data-srcset=""https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png 190w, https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1-64x54.png 64w"" data-src=""https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png"" data-sizes=""(max-width: 190px) 100vw, 190px"" class=""pp-photo-img wp-image-278 size-full lazyloaded"" src=""https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png"" sizes=""(max-width: 190px) 100vw, 190px"" srcset=""https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1.png 190w, https://victorysweetshop.com/wp-content/uploads/2019/01/elm_victoryCAFE-1-64x54.png 64w"">""",bars,nyc
142 Sullivan Bar,"142 Sullivan St, New York, NY 10012, United States",212-477-2404,4.6,Bar,https://static.spotapps.co/website_images/ab_websites/12510_website/logo.png,https://142sullivan.com/,"<img alt=""142 Sullivan Bar logo"" class=""logo logo-1"" src=""https://static.spotapps.co/web/142sullivan--com/custom/logo_142.png"">","""<img alt=""142 Sullivan Bar logo"" class=""logo logo-1"" src=""https://static.spotapps.co/web/142sullivan--com/custom/logo_142.png"">""",bars,nyc
John Sullivan's,"210 W 35th St, New York, NY 10001, United States",212-993-7223,4.3,Irish restaurant,https://static.spotapps.co/web/johnsullivansnyc--com/custom/logo.png,https://johnsullivansnyc.com/,"<img alt=""John Sullivan's logo top"" class=""img-responsive logo-top"" src=""https://static.spotapps.co/web/johnsullivansnyc--com/custom/logo.png"">","""<img alt=""John Sullivan's logo top"" class=""img-responsive logo-top"" src=""https://static.spotapps.co/web/johnsullivansnyc--com/custom/logo.png"">""",bars,nyc
Nancy Whiskey Pub,"1 Lispenard St, New York, NY 10013, United States",212-226-9943,4.5,Pub,,https://nancywhiskeypub.nyc/,,"""""",bars,nyc
High Bar New York,"346 W 40th St, New York, NY 10018, United States",,4,Bar,,https://highbarnewyork.com/menu/,,"""""",bars,nyc
Hibernia Bar,"401 W 50th St, New York, NY 10019, United States",212-969-9703,4.6,Bar,https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-1536x366.png,https://hiberniabar.com/,"<img width=""2717"" height=""647"" src=""https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1.png"" class=""custom-logo"" alt=""Hibernia Bar"" decoding=""async"" loading=""eager"" sizes=""(min-width: 1000px) 180px, 120px"" srcset=""https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-300x71.png 300w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-768x183.png 768w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-1024x244.png 1024w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-1536x366.png 1536w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-2048x488.png 2048w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1.png 2717w"">","""<img width=""2717"" height=""647"" src=""https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1.png"" class=""custom-logo"" alt=""Hibernia Bar"" decoding=""async"" loading=""eager"" sizes=""(min-width: 1000px) 180px, 120px"" srcset=""https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-300x71.png 300w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-768x183.png 768w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-1024x244.png 1024w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-1536x366.png 1536w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1-2048x488.png 2048w, https://hiberniabar.com/wp-content/uploads/2017/05/cropped-HBHK_LOGOwhite-1-1.png 2717w"">""",bars,nyc
Vig Bar,"12 Spring St, New York, NY 10012, United States",212-625-0011,4.4,Bar,,https://vigbar.com/,,"""""",bars,nyc
Ritz Bar and Lounge,"369 W 46th St, New York, NY 10036, United States",12123334177,3.7,Gay bar,,,,"""""",bars,nyc
Slate NY,"54 W 21st St, New York, NY 10010, United States",12129890096,4.1,Bar,https://slate-ny.com/wp-content/uploads/2018/08/slate-logo-gold.png,http://www.slate-ny.com/,,"""""",bars,nyc
Mace,"35 W 8th St, New York, NY 10011, United States",347-866-7739,4.4,Cocktail bar,https://images.squarespace-cdn.com/content/v1/607733688463f53c8ff482a3/1620405858658-XDKY0F9NBF1R2UI9L8QI/MACE_logo-full_white_WEB.png?format=1500w,https://www.macenewyork.com/,,"""""",bars,nyc
Nassau Bar,"118 Nassau St, New York, NY 10038, United States",,4.3,Bar,,https://www.instagram.com/nassaubarnyc/?hl=en,,"""""",bars,nyc
Coyote Ugly New York,"233 E 14th St, New York, NY 10003, United States",646-360-3018,4.1,Bar,,https://www.coyoteuglysaloon.com/wp-content/themes/coyote14/images/logo.png,,"""""",bars,nyc
Bar Belly,"14 Orchard St, New York, NY 10002, United States",917-488-0943,4.5,Cocktail bar,https://images.squarespace-cdn.com/content/v1/5a285812f6576e64a110d532/1515974221387-G5RK9U4JPJNFFKT2WLII/jack.png?format=100w,https://www.barbellynyc.com/,,"""""",bars,nyc
Jeremy's Ale House,"228 Front St, New York, NY 10038, United States",212-964-3537,4.4,Bar,,,,"""""",bars,nyc
Monk McGinns,"57 Murray Street, New York, NY 10007, United States",917-265-8961,4.5,Cocktail bar,https://monkmcginnsnyc.com/wp-content/uploads/2018/04/logo-desktop.png,https://monkmcginnsnyc.com/,,"""""",bars,nyc
LB33,"154 E 33rd St, New York, NY 10016, United States",212-213-1350,4.5,Cocktail bar,,,,"""""",bars,nyc
Weather Up,"159 Duane St, New York, NY 10013, United States",,4.2,Cocktail bar,,http://www.weatherupnyc.com/,,"""""",bars,nyc
Kenn's Broome Street Bar,"363 W Broadway, New York, NY 10013, United States",212-925-2086,4.2,Bar & grill,,seamless.com,,"""""",bars,nyc
Jack Doyle's,"240 W 35th St, New York, NY 10001, United States",212-268-1255,4.3,irish pub,https://static.spotapps.co/website_images/ab_websites/3668_website/logo.png,https://jackdoylesnyc.com/,,"""""",bars,nyc
Fools Gold NYC,"145 E Houston St, New York, NY 10002, United States",212-673-2337,4.5,Cocktail bar,"https://static.wixstatic.com/media/116a10_e3aa458d0bac4d98be5243ae0d857364~mv2.png/v1/fill/w_477,h_182,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/2017_Gold_SIMPLIFIED_COLOR_FOOLS_GOLD_pn.png",https://www.foolsgoldnyc.com/,,"""""",bars,nyc
Ty Bar,"57 E 57th St, New York, NY 10022, United States",212-758-5700,4.3,Cocktail bar,,https://www.fourseasons.com/newyork/dining/?seo=google_local_nyf3_amer,,"""""",bars,nyc
cloudM New York Bowery,"189 Bowery, New York, NY 10002, United States",212-372-7274,4.2,bar,,resy.com,,"""""",bars,nyc
Milano's Bar,"51 E Houston St, New York, NY 10012, United States",212-226-8844,4.5,bar,,,,"""""",bars,nyc
Slattery's Midtown Pub,"8 E 36th St, New York, NY 10016, United States",212-683-6444,4.3,Irish restaurant,https://slatterysmidtownpub.com/site_images/slatterysmidtownpub_logo.png,https://slatterysmidtownpub.com/,,"""""",bars,nyc
The Long Room,"120 W 44th St, New York, NY 10036, United States",212-997-3933,n/a,Irish restaurant,https://images.getbento.com/accounts/6c8848b7c2f0eb43c38130ef2fcf46cf/media/images/28203The_Long_Room_logo-new.png,https://www.thelongroomnyc.com/,,"""""",bars,nyc
The Lobby Bar at Ace Hotel New York,"20 W 29th St, New York, NY 10001, United States",,4.4,bar,,https://acehotel.com/,,"""""",bars,nyc
International Bar,"102 1st Ave., New York, NY 10009, United States",212-777-1643,4.3,bar,https://images.squarespace-cdn.com/content/v1/5f6f82bfa2b32756ea101766/1603569428385-7E1CUU5CB3TSMSKLZGDH/200830_international-bar-logo_circular_bw_headerlogo_website_alpha_BG.png?format=1500w,https://www.internationalbarnyc.com/,,"""""",bars,nyc
Center Bar,"10 Columbus Cir 4th Floor, New York, NY 10019, United States",212-823-9482,3.8,bar,https://images.getbento.com/V1L4mSKWQEu6pAXZ9okh_Center-Bar-LogoMenus.png,https://www.centerbarnyc.com/location/center-bar/,,"""""",bars,nyc
Everything's Jake NYC Bar & Lounge,"54 E 13th St, New York, NY 10003, United States",917-502-1976,4.6,Cocktail bar,https://everythingsjake.com/wp-content/uploads/2022/09/EJLogo-Transparent.png,https://everythingsjake.com/,,"""""",bars,nyc
Mr. Fong's,"40 Market St, New York, NY 10002, United States",646-964-4540,4.3,bar,https://www.mrfongs.com/uploads/b/287fd5dce2216ced7e0f97881c292ca536e0c556f74a99181868c652c83ca611/fongs%20tee%20graphic%20chest%20print%20(1)_1603232885.jpg?width=400&optimize=medium,https://www.mrfongs.com/,,"""""",bars,nyc
The Crosby Bar,"79 Crosby St, New York, NY 10012, United States",212-226-6400,4.5,Bar,,https://www.firmdalehotels.com/hotels/new-york/crosby-street-hotel/,,"""""",bars,nyc
Jane Doe Bar & Restaurant,"12 W 44th St, New York, NY 10036, United States",917-388-3994,4.4,bar,https://janedoenyc.com/wp-content/uploads/elementor/thumbs/Jane-Doe-Logo-with-Layers-p4p4uyw5gvgdehorjk6zazi6ce1mt8usqr4c7o09w4.png,https://janedoenyc.com/,,"""""",bars,nyc
The Rickey,"210 W 55th St #1, New York, NY 10019, United States",646-756-2044,4.3,bar,,https://taogroup.com/venues/the-rickey-cocktail-lounge-new-york/,,"""""",bars,nyc
Mr. Purple,"180 Orchard St 15th floor, New York, NY 10002, United States",212-237-1790,4.1,bar,https://images.getbento.com/accounts/caa0d59c2eb178a50a7b90e2035687fe/media/images/61108mrpurple_logo.png,https://www.mrpurplenyc.com/,,"""""",bars,nyc
The Three Monkeys,"236 W 54th St, New York, NY 10019, United States",212-586-2080,4.3,Sports bar,,https://www.thethreemonkeysbar.com/,,"""""",bars,nyc
The Delancey,"168 Delancey St, New York, NY 10002, United States",212-254-9920,4,Lounge,https://images.squarespace-cdn.com/content/v1/555a3c9de4b0f32d3a151970/1604337823603-W3AR1OJ236JXF5HPCN4C/982DEFB6-F7C6-4792-926D-9EC5030E4B12.PNG?format=1500w,https://thedelancey.com/,,"""""",bars,nyc
Von,"3 Bleecker St, New York, NY 10012, United States",212-473-3039,4.4,bar,https://images.squarespace-cdn.com/content/v1/5cc4d89f4dd7b100015df1f2/1558297905395-9BIP7D3EO6O1AREV75PX/2019_VonLogo_White.png?format=300w,https://www.vonbar.com/,,"""""",bars,nyc
1291 Pub Inc,"1291 3rd Ave, New York, NY 10021, United States",212-744-0585,n/a,n/a,,,,"""""",bars,nyc
